id,blacklist,code,blacklist_date,ean,currency_id/id,chk4zip,inue_date,chk4addr,insepa_date,ufficioiva,insepa,inue
base.nf,False,NF,,,base.AUD,,,,,285,False,False
base.ng,False,NG,,,base.NGN,,,,,117,False,False
base.ni,False,NI,,,base.NIO,,,,,47,False,False
base.nl,False,NL,,,base.EUR,,1958-01-01,,2008-01-01,50,True,True
base.no,False,NO,,,base.NOK,,,,2008-01-01,48,True,False
base.np,False,NP,,,base.NPR,,,,,115,False,False
base.nr,True,NR,2009-01-01,,base.AUD,,,,,109,False,False
base.nt,False,NT,,,base.IQD,,,,,799,False,False
base.nu,True,NU,2009-01-01,,base.NZD,,,,,205,False,False
base.nz,False,NZ,,,base.NZD,,,,,49,False,False
base.om,True,OM,2009-01-01,,base.OMR,,,,,163,False,False
base.pa,True,PA,2009-01-01,,base.PAB,,,,,51,False,False
base.pe,False,PE,,,base.PEN,,,,,53,False,False
base.pf,True,PF,2009-01-01,,base.XPF,,,,,225,False,False
base.pg,False,PG,,,base.PGK,,,,,186,False,False
base.ph,True,PH,2009-01-01,,base.PHP,,,,,27,False,False
base.pk,False,PK,,,base.PKR,,,,,36,False,False
base.pl,False,PL,,,base.PLZ,,2004-05-01,,2008-01-01,54,True,True
base.pm,False,PM,,,base.EUR,,,,,248,False,False
base.pn,False,PN,,,base.NZD,,,,,175,False,False
base.pr,True,PR,2009-01-01,,base.USD,,,,,220,False,False
base.ps,False,PS,,,base.ILS,,,,,279,False,False
base.pt,False,PT,,,base.EUR,,1986-01-01,,2008-01-01,55,True,True
base.pw,False,PW,,,base.USD,,,,,216,False,False
base.py,False,PY,,,base.PYG,,,,,52,False,False
base.qa,False,QA,,,base.QAR,,,,,168,False,False
base.re,False,RE,,,base.EUR,,1958-01-01,,2008-01-01,247,True,True
base.ro,False,RO,,,base.RON,,2007-01-01,,2008-01-01,61,True,True
base.rs,False,RS,,,base.RSD,,,,,288,False,False
base.ru,False,RU,,,base.RUB,,,,,262,False,False
base.rw,False,RW,,,base.RWF,,,,,151,False,False
base.sa,False,SA,,,base.SAR,,,,,5,False,False
base.sb,True,SB,2010-08-04,,base.SBD,,,,,191,False,False
base.sc,True,SC,2009-01-01,,base.SCR,,,,,189,False,False
base.sd,False,SD,,,base.SDD,,,,,70,False,False
base.se,False,SE,,,base.SEK,,1995-01-01,,2008-01-01,68,True,True
base.sg,True,SG,2010-08-04,,base.SGD,,,,,147,False,False
base.sh,True,SH,2009-01-01,,base.SHP,,,,,254,False,False
base.si,False,SI,,,base.EUR,,2004-05-01,,2008-01-01,260,True,True
base.sj,False,SJ,,,base.NOK,,,,,286,False,False
base.sk,False,SK,,,base.EUR,,2004-05-01,,2008-01-01,276,True,True
base.sl,False,SL,,,base.SLL,,,,,153,False,False
base.sm,False,SM,,,base.ITL,,,,2014-02-03,37,True,False
base.sn,False,SN,,,base.XOF,,,,,152,False,False
base.so,False,SO,,,base.SOD,,,,,66,False,False
base.sr,False,SR,,,base.SRG,,,,,124,False,False
base.ss,False,SS,,,base.SSP,,,,,297,False,False
base.st,False,ST,,,base.STD,,,,,187,False,False
base.sv,False,SV,,,base.SVC,,,,,64,False,False
base.sx,False,SX,,,base.ANG,,,,,222,False,False
base.sy,False,SY,,,base.SYP,,,,,65,False,False
base.sz,False,SZ,,,base.SZL,,,,,138,False,False
base.tc,True,TC,2009-01-01,,base.USD,,,,,210,False,False
base.td,False,TD,,,base.XAF,,,,,144,False,False
base.tf,False,TF,,,base.EUR,,,,,183,False,False
base.tg,False,TG,,,base.XOF,,,,,155,False,False
base.th,False,TH,,,base.THB,,,,,72,False,False
base.tj,False,TJ,,,base.TJR,,,,,272,False,False
base.tk,False,TK,,,base.NZD,,,,,236,False,False
base.tm,False,TM,,,base.TMM,,,,,273,False,False
base.tn,False,TN,,,base.TND,,,,,75,False,False
base.to,True,TO,2009-01-01,,base.TOP,,,,,162,False,False
base.tp,False,TP,,,base.TPE,,,,,287,False,False
